Ticker,Date, Close/Last, Volume, Open, High, Low
MSFT,5/29/2020,$183.25 ,42146720,$182.73 ,$184.27 ,$180.41 
MSFT,5/28/2020,$181.40 ,33831820,$180.74 ,$184.15 ,$180.38 
MSFT,5/27/2020,$181.81 ,39517150,$180.20 ,$181.99 ,$176.60 
MSFT,5/26/2020,$181.57 ,36073610,$186.34 ,$186.50 ,$181.10 
MSFT,5/22/2020,$183.51 ,20826900,$183.19 ,$184.46 ,$182.54 
MSFT,5/21/2020,$183.43 ,29119510,$185.40 ,$186.67 ,$183.29 
MSFT,5/20/2020,$185.66 ,31261330,$184.81 ,$185.85 ,$183.94 
MSFT,5/19/2020,$183.63 ,26799120,$185.03 ,$186.60 ,$183.49 
MSFT,5/18/2020,$184.91 ,35306620,$185.75 ,$186.20 ,$183.96 
MSFT,5/15/2020,$183.16 ,46610380,$179.06 ,$187.06 ,$177 
MSFT,5/14/2020,$180.53 ,41873910,$177.54 ,$180.69 ,$175.68 
MSFT,5/13/2020,$179.75 ,44711490,$182.55 ,$184.05 ,$176.54 
MSFT,5/12/2020,$182.51 ,32038200,$186.80 ,$187.04 ,$182.30 
MSFT,5/11/2020,$186.74 ,30892660,$183.15 ,$187.51 ,$182.85 
MSFT,5/8/2020,$184.68 ,30912640,$184.98 ,$185 ,$183.36 
MSFT,5/7/2020,$183.60 ,28315990,$184.17 ,$184.55 ,$182.58 
MSFT,5/6/2020,$182.54 ,32139300,$182.08 ,$184.20 ,$181.63 
MSFT,5/5/2020,$180.76 ,36839170,$180.62 ,$183.65 ,$179.90 
MSFT,5/4/2020,$178.84 ,30372860,$174.49 ,$179 ,$173.80 
MSFT,5/1/2020,$174.57 ,39370470,$175.80 ,$178.64 ,$174.01 
MSFT,4/30/2020,$179.21 ,53875860,$180 ,$180.40 ,$176.23 
MSFT,4/29/2020,$177.43 ,51286560,$173.22 ,$177.68 ,$171.88 
MSFT,4/28/2020,$169.81 ,34392690,$175.59 ,$175.67 ,$169.39 
MSFT,4/27/2020,$174.05 ,33194380,$176.59 ,$176.90 ,$173.30 
MSFT,4/24/2020,$174.55 ,34305320,$172.06 ,$174.56 ,$170.71 
MSFT,4/23/2020,$171.42 ,32790800,$174.11 ,$175.06 ,$170.91 
MSFT,4/22/2020,$173.52 ,34651600,$171.39 ,$174 ,$170.82 
MSFT,4/21/2020,$167.82 ,56203750,$173.50 ,$173.67 ,$166.11 
MSFT,4/20/2020,$175.06 ,36669560,$176.63 ,$178.75 ,$174.99 
MSFT,4/17/2020,$178.60 ,52765630,$179.50 ,$180 ,$175.87 
MSFT,4/16/2020,$177.04 ,50479610,$174.30 ,$177.28 ,$172.90 
MSFT,4/15/2020,$171.88 ,40940830,$171.20 ,$173.57 ,$169.24 
MSFT,4/14/2020,$173.70 ,52874340,$169 ,$173.75 ,$168 
MSFT,4/13/2020,$165.51 ,41905260,$164.35 ,$165.57 ,$162.30 
MSFT,4/9/2020,$165.14 ,51431780,$166.36 ,$167.37 ,$163.33 
MSFT,4/8/2020,$165.13 ,48318230,$165.67 ,$166.67 ,$163.50 
MSFT,4/7/2020,$163.49 ,62769040,$169.59 ,$170 ,$163.26 
